Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value
Actaea,Ranunculaceae,Ranunculales,16.66666667,0.25,1.0,0.0,0.0,0.25,1.0,0.5,1.0,3.75,0.7035555556666667,8.228908655466666,
Actinotus,Apiaceae,Apiales,0.0,0.0,0.5,0.0,0.003968254,0.0,1.0,0.8953401360571428,0.9996012759210526,3.3888888888333333,0.925,2.5124782609130434,
Adenocarpus,Fabaceae,Fabales,0.0,0.0,1.0,1.0,0.096494845,1.0,1.0,0.9291558728928572,1.0,2.075313283157895,0.5700679541176471,0.875,4.040610178
Adenophora,Campanulaceae,Asterales,0.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,2.7782266752857145,0.72125,4.72,
Adenophorus,Polypodiaceae,Monilophyta,6.666666667,0.3,1.0,0.0,0.0,0.28760069469672456,1.0,0.5,1.0,2.3,0.6304592000547441,14.15444444,
Adenophyllum,Asteraceae,Asterales,0.0,0.0,1.0,1.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025209,2.58694816475,0.6654010416875,3.3862005286025645,
Adenostoma,Rosaceae,Rosales,0.0,0.0,1.0,1.0,0.001060071,0.0,0.869068767173913,0.7657793086666667,0.9722222222083333,2.1739697801,0.8256875,0.7405270453157895,
Adenostyles,Asteraceae,Asterales,33.33333333,0.333333333,1.0,0.0,0.00210989,0.015625,1.0,0.5,1.0,2.58694816475,0.6654010416875,3.3862005286025645,
Adiantum,Pteridaceae,Monilophyta,0.526315789,0.05,1.0,0.0,0.0,0.28760069469672456,1.0,1.0,1.0,3.666666667,0.6304592000547441,5.13,
Adonis,Ranunculaceae,Ranunculales,2.222222222,0.1,0.6,0.0,0.0,0.25,1.0,0.875,1.0,3.75,0.7035555556666667,15.5,12.31734393
Adriana,Euphorbiaceae,Malpighiales,0.0,0.0,1.0,1.0,0.01239531,0.03333333333333333,0.980769231,0.744047619,0.7,2.2299770105714285,0.58,2.6397142856666664,
Aegilops,Poaceae,Poales,0.952380952,0.066666667,0.0,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.0,1.7807017544210528,0.49689285714285714,8.908615385,41.28191488
Aeluropus,Poaceae,Poales,0.0,0.0,1.0,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.03468030404761905,1.7807017544210528,0.49689285714285714,8.4,
Aeonium,Crassulaceae,Saxifragales,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.50595238075,0.91666666675,0.5,0.728,0.937333333,107.3211613
Aesculus,Sapindaceae,Sapindales,0.0,0.0,1.0,1.0,0.001265823,0.0,1.0,1.0,1.0,2.0,0.945,0.365,0
Aethionema,Brassicaceae,Brassicales,0.0,0.0,0.9,0.0,0.00485306,0.0,1.0,1.0,1.0,4.0,0.4929733334,0.71,0
Agalinis,Orobanchaceae,Lamiales,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8805555555555555,1.0,1.5,0.469,4.165212766,
Agalinus,Orobanchaceae,Lamiales,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8805555555555555,1.0,1.5,0.7155,4.165212766,
Agastache,Lamiaceae,Lamiales,0.0,0.0,1.0,0.0,0.004320557,0.9583333333749999,1.0,0.7129528985652174,0.9986772486666666,1.5795454545454546,0.664,1.1319000933529413,
Agave,Asparagaceae,Asparagales,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.496428571375,1.0,2.9,0.956,6.470684932,34.23608512
Ageratina,Asteraceae,Asterales,0.0,0.0,1.0,0.5,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025209,0.9,0.6654010416875,3.3862005286025645,
Ageratum,Asteraceae,Asterales,0.0,0.0,0.5,0.0,0.00210989,0.0,0.9667911996712328,0.761325295527027,1.0,2.0,0.6654010416875,3.3862005286025645,
Agoseris,Asteraceae,Asterales,3.03030303,0.166666667,0.833333333,0.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025209,2.58694816475,0.6654010416875,2.4625,44.21783094
Agrimonia,Rosaceae,Rosales,0.653594771,0.055555556,1.0,0.0,0.001060071,0.0,1.0,0.75,1.0,2.1739697801,0.8256875,0.7405270453157895,
Agropyron,Poaceae,Poales,5.627705628,0.590909091,1.0,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.03468030404761905,1.7807017544210528,0.49689285714285714,9.37,35.56842708
Agrostemma,Caryophyllaceae,Caryophyllales,0.0,0.0,0.0,0.0,0.001818182,0.0,1.0,1.0,1.0,3.240740740777778,0.5151666666666667,2.1,
Agrostis,Poaceae,Poales,0.293040293,0.152380952,0.808411215,0.0,0.074314214,1.0,1.0,0.576923077,0.0,1.166666667,0.49689285714285714,5.437586207,45.418384
Aichryson,Crassulaceae,Saxifragales,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.50595238075,0.91666666675,0.5,0.728,0.685,1.032272673
